[29-Mar-2021 09:32:27 Asia/Tokyo] PHP Notice:  Undefined variable: statement in /var/www/html/login/action/login.php on line 36
[29-Mar-2021 09:32:27 Asia/Tokyo] PHP Fatal error:  Uncaught Error: Call to a member function getDatabaseConnection() on null in /var/www/html/login/action/login.php:36
Stack trace:
#0 {main}
  thrown in /var/www/html/login/action/login.php on line 36
[29-Mar-2021 10:59:23 Asia/Tokyo] PHP Notice:  Undefined variable: state in /var/www/html/memo/index.php on line 17
[29-Mar-2021 10:59:23 Asia/Tokyo] PHP Fatal error:  Uncaught Error: Call to a member function execute() on null in /var/www/html/memo/index.php:17
Stack trace:
#0 {main}
  thrown in /var/www/html/memo/index.php on line 17
[29-Mar-2021 10:59:46 Asia/Tokyo] PHP Notice:  Undefined variable: state in /var/www/html/memo/index.php on line 17
[29-Mar-2021 10:59:46 Asia/Tokyo] PHP Fatal error:  Uncaught Error: Call to a member function execute() on null in /var/www/html/memo/index.php:17
Stack trace:
#0 {main}
  thrown in /var/www/html/memo/index.php on line 17
[29-Mar-2021 11:17:24 Asia/Tokyo] PHP Notice:  Undefined index: update_at in /var/www/html/memo/index.php on line 72
[29-Mar-2021 11:17:26 Asia/Tokyo] PHP Notice:  Undefined index: update_at in /var/www/html/memo/index.php on line 72
[29-Mar-2021 11:19:44 Asia/Tokyo] PHP Notice:  Undefined index: update_at in /var/www/html/memo/index.php on line 72
[29-Mar-2021 11:57:22 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:22 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:22 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 11:57:23 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:23 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:23 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 11:57:24 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:24 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:24 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 11:57:26 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:26 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:26 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 11:57:34 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:34 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:34 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 11:57:35 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:35 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:35 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 11:57:36 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:36 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:36 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 11:57:37 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:37 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:37 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 11:57:38 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:38 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:38 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 11:57:39 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 11:57:39 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 11:57:39 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 12:00:02 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 12:00:02 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 12:00:02 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 12:00:03 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 12:00:03 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 12:00:03 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 12:00:03 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 12:00:03 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 12:00:03 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 12:00:03 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 12:00:03 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 12:00:03 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 12:00:04 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 12:00:04 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 12:00:04 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 12:00:05 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 12:00:05 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 12:00:05 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 12:01:55 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 12:01:55 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 12:01:55 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 12:01:56 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 12:01:56 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
[29-Mar-2021 12:01:56 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 24
[29-Mar-2021 12:01:57 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 22
[29-Mar-2021 12:01:57 Asia/Tokyo] PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/memo/action/select.php on line 23
